timestamp	variant	onnx_node	act_name	weight_name	rows	k_dim	n_cols	tiles	tile_rows	active_harts	total_wait_s	ops	gops	max_abs	mean_abs	p99_abs	allclose_1e4	allclose_1e3	tile_ok	remote_work	local_run_dir
20260504-124137	opt_struct_fullk_valueh0_tr512_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	3	512	16	0.2254701	288768000	1.2807374458963738	3.337860107421875e-06	1.6781385170361318e-07	1.0728836059570312e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt_struct_fullk_valueh0_tr512_ah16_20260504-124137	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt_struct_fullk_valueh0_tr512_ah16_20260504-124137
20260504-124232	opt100_i028_mlp2_fullk_tr1280_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	2	1280	16	1.389616	1769472000	1.2733532141253412	1.0728836059570312e-06	4.855572655060314e-08	2.384185791015625e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i028_mlp2_fullk_tr1280_ah16_20260504-124232	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i028_mlp2_fullk_tr1280_ah16_20260504-124232
20260504-124334	opt100_i029_mlp0_fullk_tr1024_ah16	/encoder/blocks.0/mlp/0/MatMul_output_0	/encoder/blocks.0/mlp_ln/LayerNormalization_output_0	onnx::MatMul_780	1500	384	1536	2	1024	16	1.971431	1769472000	0.8975571551832147	3.0994415283203125e-06	1.3695044742689788e-07	5.960464477539062e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i029_mlp0_fullk_tr1024_ah16_20260504-124334	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i029_mlp0_fullk_tr1024_ah16_20260504-124334
20260504-124635	opt100_i030_qkv_fullk_tr1024_ah16	_v_649	/encoder/blocks.0/attn_ln/LayerNormalization_output_0	_v_648	1500	384	1152	2	1024	16	1.4857440000000002	1327104000	0.8932252124188285	6.198883056640625e-06	2.2147560230223462e-07	1.430511474609375e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i030_qkv_fullk_tr1024_ah16_20260504-124635	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i030_qkv_fullk_tr1024_ah16_20260504-124635
20260504-124842	opt100_i031_scoreh0_fullk_tr1024_ah16	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	2	1024	16	0.942195	288000000	0.3056692086033146	7.62939453125e-06	4.498098178373766e-07	1.9073486328125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i031_scoreh0_fullk_tr1024_ah16_20260504-124842	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i031_scoreh0_fullk_tr1024_ah16_20260504-124842
20260504-125149	opt100_i032_mlp2_fullk_tr512_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	3	512	16	1.438223	1769472000	1.2303182468921718	1.0728836059570312e-06	4.855572655060314e-08	2.384185791015625e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i032_mlp2_fullk_tr512_ah16_20260504-125149	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i032_mlp2_fullk_tr512_ah16_20260504-125149
20260504-125302	opt100_i033_mlp2_fullk_tr768_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	2	768	16	1.387407	1769472000	1.2753806201064286	1.0728836059570312e-06	4.855572655060314e-08	2.384185791015625e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i033_mlp2_fullk_tr768_ah16_20260504-125302	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i033_mlp2_fullk_tr768_ah16_20260504-125302
20260504-125437	opt100_i034_mlp2_fullk_tr1024_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	2	1024	16	1.457895	1769472000	1.2137170372351918	1.0728836059570312e-06	4.855572655060314e-08	2.384185791015625e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i034_mlp2_fullk_tr1024_ah16_20260504-125437	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i034_mlp2_fullk_tr1024_ah16_20260504-125437
20260504-125601	opt100_i035_mlp2_fullk_tr1500_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	1	1500	16	1.39753	1769472000	1.2661424083919488	1.0728836059570312e-06	4.855572655060314e-08	2.384185791015625e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i035_mlp2_fullk_tr1500_ah16_20260504-125601	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i035_mlp2_fullk_tr1500_ah16_20260504-125601
20260504-125721	opt100_i036_valueh0_fullk_tr256_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	6	256	16	0.23215180000000002	288768000	1.2438757743855529	3.337860107421875e-06	1.6781385170361318e-07	1.0728836059570312e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i036_valueh0_fullk_tr256_ah16_20260504-125721	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i036_valueh0_fullk_tr256_ah16_20260504-125721
