timestamp	step	index	op_type	node	elem_count	full_elem_count	tile_offset	src_count	original_src_count	compacted_source	wait_s	host_max_abs	audit_pass	mem_size	required_bytes	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req	report
20260505-163601	3	38	Transpose	/0/Transpose_1	96000	96000	0	96000	96000	False	0.0232625	0.0	True	16777216	1555456	957983	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	39	Transpose	/0/Transpose_2	96000	96000	0	96000	96000	False	0.0232342	0.0	True	16777216	1555456	957850	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	40	Transpose	/0/Transpose_3	96000	96000	0	96000	96000	False	0.0231789	0.0	True	16777216	1555456	958021	325792	325789	111029	111029	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	41	Transpose	/0/Transpose_4	96000	96000	0	96000	96000	False	0.0232014	0.0	True	16777216	1555456	958080	325792	325789	111028	111028	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	42	Transpose	/0/Transpose_5	96000	96000	0	96000	96000	False	0.0233016	0.0	True	16777216	1555456	957909	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	43	Transpose	/1/Transpose	96000	96000	0	96000	96000	False	0.0231582	0.0	True	16777216	1555456	957403	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	44	Transpose	/1/Transpose_1	96000	96000	0	96000	96000	False	0.0233268	0.0	True	16777216	1555456	957826	325792	325789	111027	111027	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	45	Transpose	/1/Transpose_2	96000	96000	0	96000	96000	False	0.0232586	0.0	True	16777216	1555456	957685	325792	325789	111027	111027	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	46	Transpose	/1/Transpose_3	96000	96000	0	96000	96000	False	0.0232572	0.0	True	16777216	1555456	957853	325792	325789	111025	111025	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	47	Transpose	/1/Transpose_4	96000	96000	0	96000	96000	False	0.0232265	0.0	True	16777216	1555456	958177	325792	325789	111027	111027	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	48	Transpose	/1/Transpose_5	96000	96000	0	96000	96000	False	0.0231827	0.0	True	16777216	1555456	957771	325792	325789	111025	111025	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	49	Transpose	/2/Transpose	96000	96000	0	96000	96000	False	0.0232419	0.0	True	16777216	1555456	959027	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	50	Transpose	/2/Transpose_1	96000	96000	0	96000	96000	False	0.0232677	0.0	True	16777216	1555456	958150	325792	325789	111025	111025	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	51	Transpose	/2/Transpose_2	96000	96000	0	96000	96000	False	0.0231646	0.0	True	16777216	1555456	957908	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	52	Transpose	/2/Transpose_3	96000	96000	0	96000	96000	False	0.0232301	0.0	True	16777216	1555456	957767	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	53	Transpose	/2/Transpose_4	96000	96000	0	96000	96000	False	0.0232545	0.0	True	16777216	1555456	958553	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	54	Transpose	/2/Transpose_5	96000	96000	0	96000	96000	False	0.023145	0.0	True	16777216	1555456	959086	325792	325789	111028	111028	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	55	Transpose	/3/Transpose	96000	96000	0	96000	96000	False	0.0231512	0.0	True	16777216	1555456	957964	325792	325789	111027	111027	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	56	Transpose	/3/Transpose_1	96000	96000	0	96000	96000	False	0.0231913	0.0	True	16777216	1555456	958049	325792	325789	111025	111025	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	57	Transpose	/3/Transpose_2	96000	96000	0	96000	96000	False	0.0233013	0.0	True	16777216	1555456	958132	325792	325789	111025	111025	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
