index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
18	Add	/encoder/blocks.0/mlp/0/Add		2304000	2304000	0	1	2304000	36880384	0.658931	0.9658489227294922	0.0	0.0	2e-06	True	12590081	20770209	20770510	432071	11613898	10
19	Div	/encoder/blocks.0/mlp/1/Div		2304000	2304000	0	1	2304000	36880384	0.69439	1.0119209289550781	0.0	0.0	2e-06	True	33791694	69881290	69886138	432056	26797285	26963263
20	Erf	/encoder/blocks.0/mlp/1/Erf		2304000	2304000	0	1	2304000	36880384	0.716155	1.0251848697662354	1.5497207641601562e-06	1.4864272657177935e-07	0.0003	True	56977300	102396170	102394389	432072	40655503	15
21	Add	/encoder/blocks.0/mlp/1/Add		2304000	2304000	0	1	2304000	36880384	0.659197	0.97635817527771	0.0	0.0	2e-06	True	12591722	20770209	20770382	432071	11617925	9
22	Mul	/encoder/blocks.0/mlp/1/Mul		2304000	2304000	0	1	2304000	36880384	0.656358	0.9673855304718018	0.0	0.0	2e-06	True	11061366	21922210	21922382	432071	7350191	7
23	Mul	/encoder/blocks.0/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.656365	0.969266414642334	0.0	0.0	2e-06	True	11048572	21922209	21922382	432071	7346496	7
24	Add	/encoder/blocks.0/mlp/2/Add		576000	576000	0	1	576000	9238528	0.161397	0.45705080032348633	0.0	0.0	2e-06	True	2984980	5193144	5193187	108072	2828646	9
25	Add	/encoder/blocks.0/Add_1		576000	576000	0	1	576000	9238528	0.161446	0.46536755561828613	0.0	0.0	2e-06	True	2984723	5193144	5193187	108072	2829215	10
26	Add	/encoder/blocks.1/attn/query/Add		576000	576000	0	1	576000	9238528	0.161385	0.46584272384643555	0.0	0.0	2e-06	True	2983842	5193144	5193187	108072	2831316	9
27	Add	/encoder/blocks.1/attn/value/Add		576000	576000	0	1	576000	9238528	0.161299	0.46514320373535156	0.0	0.0	2e-06	True	2983930	5193144	5193187	108072	2829140	2877778
28	Mul	/encoder/blocks.1/attn/Mul_1		576000	576000	0	1	576000	9238528	0.160506	0.4623403549194336	0.0	0.0	2e-06	True	2535388	5481149	5481182	108072	1803233	7
29	Mul	/encoder/blocks.1/attn/Mul		576000	576000	0	1	576000	9238528	0.160628	0.45548009872436523	0.0	0.0	2e-06	True	2536018	5481144	5481187	108072	1803300	1852194
30	Softmax	/encoder/blocks.1/attn/Softmax		13500000	13500000	0	9000	1500	216021376	4.46345	4.864844083786011	0.00016099214553833008	8.366230730416646e-08	0.0005	True	279808464	418552217	419283130	3420040	211707092	212619262
31	Add	/encoder/blocks.1/attn/out/Add		576000	576000	0	1	576000	9238528	0.161371	0.458385705947876	0.0	0.0	2e-06	True	2987618	5193149	5193182	108072	2828959	9
32	Add	/encoder/blocks.1/Add		576000	576000	0	1	576000	9238528	0.161483	0.469099760055542	0.0	0.0	2e-06	True	2983280	5193144	5193187	108072	2828229	10
