variant	tag	harts	kernel_wait_s	gops	summary_ok	done_count	active_mask	output_sum	slot_checksum_sum	ops	hpm_cycles_max	hpm_cycles_sum_active	hpm_inst_dedup	hpm_l2_miss_max	hpm_l2_miss_sum_active	hpm_icache_req_max	hpm_icache_req_sum_active	hpm_icache_etlink_max	hpm_icache_etlink_sum_active	sc_cycles_sum	sc_cycles_max	sc_reads_sum	sc_reads_max	sc_writes_sum	sc_writes_max	ms_cycles_sum	ms_cycles_max	ms_reads_sum	ms_reads_max	ms_writes_sum	ms_writes_max	cycles_per_op_max	inst_per_op_dedup	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop
skip_final_barrier	dncnn3_bench_skip_finalbar_2h	2	3.67214	0.1284970616588692	1	2	0x3	514785	514785	471859200	2557448962	5114897920	18446744073709552028	5	5	18446744073709550958	18446744073709550958	18446744073709551592	18446744073709551592	10228750130	2557187592	16139182	4536979	2010582	556289	31810553782	3976399020	232932	37461	340617	52694	5.41994086795383	39093746765.36889	34.203385247124565	4.260978698730469	0.4936472574869792	0.7218615214029948
skip_final_barrier	dncnn3_bench_skip_finalbar_4h	4	1.81477	0.26001046964629126	1	4	0xf	514785	514785	471859200	1443822754	4331468207	55340232221128652008	2	6	787	1565	58	116	5774701317	1443675405	12903540	4774954	1962717	573852	17958836667	2244899579	230648	37224	338268	52450	3.0598592842949763	117281240296.10666	27.346165974934895	4.159539540608724	0.4888068305121528	0.7168833414713541
skip_final_barrier	dncnn3_bench_skip_finalbar_8h	8	0.908638	0.5193038371716789	1	8	0xff	514785	514785	471859200	899760245	5398561413	110680464442257306870	18446744073709551614	110680464442257309650	378	1498	15	60	3598676202	899669127	12887557	4773920	1980396	589800	11191582164	1398975579	229536	37101	337131	52323	1.9068405257331	234562480592.21332	27.312293582492405	4.1970062255859375	0.4864501953125	0.7144737243652344
skip_final_barrier	dncnn3_bench_skip_finalbar_16h	16	0.466575	1.011325510368108	1	16	0xffff	514785	514785	471859200	635919090	7631028908	8822	18446744073709551613	73786976294838206508	867	5967	58	464	2543416849	635854228	12907732	4775549	1965203	575061	7909811897	988746256	228958	37040	336561	52262	1.3476882298787436	1.869625515407986e-05	27.355049981011284	4.164808061387804	0.48522525363498265	0.7132657368977865
no_layer_barriers_unsafe	dncnn3_bench_nolayerbar_1h	1	4.82926	0.0977083859638951	1	1	0x1	514785	514785	471859200	3251735432	3251735432	289	18	18	0	0	0	0	13005615599	3251403925	15274855	4918769	1938938	514926	40446374701	5055898045	234415	37627	342118	52855	6.89132570054796	6.124708387586806e-07	32.37163755628798	4.109145270453559	0.49679014417860246	0.7250425550672743
no_layer_barriers_unsafe	dncnn3_bench_nolayerbar_2h	2	3.62447	0.13018708942272939	1	2	0x3	514785	514785	471859200	2529398537	5058797071	18446744073709551589	18446744073709551614	18446744073709551616	18446744073709551226	18446744073709551226	18446744073709551600	18446744073709551600	10116561853	2529140536	14038816	4617286	2051384	577776	31461658621	3932786155	232916	37457	340352	52669	5.36049426820543	39093746765.36889	29.75212944878472	4.347449408637153	0.4936133490668403	0.7212999131944444
no_layer_barriers_unsafe	dncnn3_bench_nolayerbar_4h	4	1.85095	0.2549281179934628	1	4	0xf	514681	514681	471859200	1464146711	4392440110	1292	18446744073709551529	36893488147419103067	425	845	18446744073709551575	36893488147419103150	5855989221	1463997391	14247865	4917608	1953733	564933	18211634767	2276499901	230720	37217	338387	52454	3.1029313638475204	2.7381049262152776e-06	30.195162031385635	4.140499962700738	0.4889594184027778	0.7171355353461372
no_layer_barriers_unsafe	dncnn3_bench_nolayerbar_8h	8	0.0013067	0.0	0	0	0x0	0	0	0	348481751	2090889816	110680464442257307701	18446744073709551601	36893488147419103298	18446744073709550545	73786976294838202152	40	160	1393783430	348445870	73338	31130	48018	25365	4334548306	541829323	230938	37580	328792	51564						
no_layer_barriers_unsafe	dncnn3_bench_nolayerbar_16h	16	0.479259	0.9845599143678053	1	16	0xffff	514410	514410	471859200	654514938	7854179189	13554	18446744073709551597	147573952589676412784	756	6010	22	176	2617792822	654448213	14252677	4918353	1958535	568145	8141114942	1017659694	228816	37027	336660	52273	1.3870979690551757	2.872467041015625e-05	30.205359988742405	4.150676727294922	0.48492431640625	0.7134755452473959
fused_halo	dncnn3_bench_fused_halo_1h	1	4.88057	0.0966811663391776	1	1	0x1	514785	514785	471859200	3282719593	3282719593	18446744073709551474	54	54	0	0	0	0	13129541425	3282385389	9581148	2492026	1937089	544890	40831774561	5104074021	234363	37606	342390	52888	6.956989697350396	39093746765.36889	20.305099487304688	4.1052267286512585	0.49667994181315106	0.7256189982096354
fused_halo	dncnn3_bench_fused_halo_2h	2	3.73609	0.12629759989721875	1	2	0x3	514785	514785	471859200	2597345900	5194691798	1432	18446744073709551615	18446744073709551637	631	631	18446744073709551541	18446744073709551541	10388324648	2597081218	10076233	2593839	2011235	521160	32306819298	4038433272	232868	37467	340442	52708	5.504493501451281	3.0348036024305556e-06	21.35432137383355	4.262362586127387	0.4935116238064236	0.7214906480577257
fused_halo	dncnn3_bench_fused_halo_4h	4	2.16196	0.21825528686932227	1	4	0xf	514521	514521	471859200	1652393611	4957180813	2511	18446744073709551606	36893488147419103275	363	723	18446744073709551591	36893488147419103182	6608902685	1652225699	11494384	3007583	2378265	615594	20553124185	2569192068	231084	37265	338730	52497	3.501878549787733	5.321502685546875e-06	24.35977511935764	5.040200551350911	0.4897308349609375	0.7178624471028646
fused_halo	dncnn3_bench_fused_halo_8h	8	1.32362	0.3564914401414303	1	8	0xff	514458	514458	471859200	1151155641	6906933806	110680464442257307568	18446744073709551590	110680464442257309496	18446744073709550831	73786976294838203303	18446744073709551581	73786976294838206324	4604151708	1151038005	13967538	3661070	2902476	752666	14318524869	1789851466	230044	37161	337652	52383	2.4396168200174966	234562480592.21332	29.60107167561849	6.1511484781901045	0.4875267876519097	0.7155778672960069
fused_halo	dncnn3_bench_fused_halo_16h	16	0.884589	0.5334219620637382	1	16	0xffff	514589	514589	471859200	889566489	10674797674	11457	35	284	18446744073709550858	147573952589676406014	18446744073709551538	147573952589676412304	3557902111	889475607	18900722	4982298	3947525	1025784	11064775911	1383124813	229487	37089	337103	52319	1.8852371406555175	2.4280548095703126e-05	40.05585140652127	8.36589601304796	0.48634635077582467	0.7144143846299913
fused_halo_unroll	dncnn3_bench_fused_halo_unroll_1h	1	4.65345	0.1013998646165748	1	1	0x1	514785	514785	471859200	3149894060	3149894060	969	13	13	0	0	0	0	12598291421	3149572895	11939465	4154032	1891155	498565	39179630886	4897551902	234192	37596	341868	52827	6.675495698716905	2.0535786946614583e-06	25.30302471584744	4.007879892985026	0.4963175455729167	0.7245127360026041
