variant	tag	harts	hart	minion	thread	cycles	retired_inst0	retired_inst1	l2_miss_req	minion_icache_req	icache_etlink_req
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	2	1	0	0	0	0	0	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	3	1	1	809053884	18446744073709550816	18446744073709551197	18446744073709551588	869	18446744073709551571
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	4	2	0	809053878	18446744073709550560	18446744073709550985	18446744073709551574	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	5	2	1	809053884	18446744073709550816	18446744073709551069	18446744073709551588	869	18446744073709551571
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	6	3	0	0	0	0	0	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	7	3	1	809053884	18446744073709550816	18446744073709551076	18446744073709551588	867	18446744073709551571
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	8	4	0	809053876	18446744073709550557	18446744073709550985	18446744073709551574	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	9	4	1	809053884	18446744073709550826	18446744073709551085	18446744073709551588	876	18446744073709551571
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	10	5	0	0	0	0	0	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	11	5	1	809053884	18446744073709550812	18446744073709551070	18446744073709551588	866	18446744073709551571
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	12	6	0	809053883	18446744073709550562	18446744073709550985	18446744073709551574	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	13	6	1	809053884	18446744073709550673	18446744073709551060	18446744073709551588	855	18446744073709551571
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	14	7	0	0	0	0	0	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	15	7	1	809053884	18446744073709550826	18446744073709551083	18446744073709551588	874	18446744073709551571
nhwc_interior_direct_o3	dncnn3_bench_interior_1h	1	0	0	0	3163520729	1672	1404	18446744073709551609	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_2h	2	0	0	0	2384879645	711	1036	8	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_2h	2	1	0	1	2384879651	18446744073709551346	18446744073709551280	18446744073709551577	18446744073709550331	18446744073709551540
nhwc_interior_direct_o3	dncnn3_bench_interior_4h	4	0	0	0	1420836748	18446744073709551200	782	13	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_4h	4	1	0	1	1420836759	18446744073709551225	410	18446744073709551564	18446744073709551361	43
nhwc_interior_direct_o3	dncnn3_bench_interior_4h	4	2	1	0	0	0	0	0	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_4h	4	3	1	1	1420836759	18446744073709551209	398	18446744073709551564	18446744073709551353	43
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	0	0	0	898661341	125	18446744073709551516	2	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	1	0	1	898661333	414	18446744073709550397	18446744073709551595	1283	20
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	2	1	0	0	0	0	0	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	3	1	1	898661333	302	18446744073709550403	18446744073709551595	1287	20
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	4	2	0	898661343	125	18446744073709551516	2	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	5	2	1	898661333	303	18446744073709550398	18446744073709551595	1278	20
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	6	3	0	0	0	0	0	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_8h	8	7	3	1	898661341	304	18446744073709550401	18446744073709551595	1285	20
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	0	0	0	631557380	882	655	10	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	1	0	1	631557258	18446744073709551501	18446744073709551498	18446744073709551613	18446744073709551547	18446744073709551568
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	2	1	0	0	0	0	0	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	3	1	1	631557402	18446744073709551491	18446744073709551475	18446744073709551613	18446744073709551539	18446744073709551568
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	4	2	0	631557382	885	655	10	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	5	2	1	631557385	18446744073709551469	18446744073709551463	18446744073709551613	18446744073709551535	18446744073709551568
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	6	3	0	0	0	0	0	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	7	3	1	631557385	18446744073709551476	18446744073709551490	18446744073709551613	18446744073709551544	18446744073709551568
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	8	4	0	631557411	922	655	10	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	9	4	1	631557385	18446744073709551541	18446744073709551529	18446744073709551613	18446744073709551562	18446744073709551568
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	10	5	0	0	0	0	0	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	11	5	1	631557385	18446744073709551557	18446744073709551548	18446744073709551613	18446744073709551575	18446744073709551568
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	12	6	0	631557414	925	655	10	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	13	6	1	631557392	18446744073709551547	18446744073709551509	18446744073709551613	18446744073709551555	18446744073709551568
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	14	7	0	0	0	0	0	0	0
nhwc_interior_direct_o3	dncnn3_bench_interior_16h	16	15	7	1	631557376	18446744073709551547	18446744073709551528	18446744073709551613	18446744073709551564	18446744073709551568
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_1h	1	0	0	0	3736352638	18446744073709550736	18446744073709550499	14	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_2h	2	0	0	0	2829067392	789	18446744073709550550	18446744073709551592	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_2h	2	1	0	1	2829067385	18446744073709551030	18446744073709551189	18446744073709551568	18446744073709550156	44
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_4h	4	0	0	0	1602269616	1248	1053	41	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_4h	4	1	0	1	1602269612	476	53	57	162	18446744073709551540
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_4h	4	2	1	0	0	0	0	0	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_4h	4	3	1	1	1602269614	623	74	57	169	18446744073709551540
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	0	0	0	971906311	46	18446744073709551071	18446744073709551601	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	1	0	1	971906301	18446744073709549869	18446744073709550997	18446744073709551589	805	23
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	2	1	0	0	0	0	0	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	3	1	1	971906309	18446744073709550014	18446744073709551003	18446744073709551589	812	23
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	4	2	0	971906311	174	18446744073709551071	18446744073709551601	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	5	2	1	971906309	18446744073709550004	18446744073709550987	18446744073709551589	799	23
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	6	3	0	0	0	0	0	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_8h	8	7	3	1	971906309	18446744073709549872	18446744073709550996	18446744073709551589	807	23
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	0	0	0	672609498	450	248	61	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	1	0	1	672609500	424	556	18446744073709551595	18446744073709551252	18446744073709551608
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	2	1	0	0	0	0	0	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	3	1	1	672609500	418	524	18446744073709551595	18446744073709551241	18446744073709551608
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	4	2	0	672609499	452	248	61	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	5	2	1	672609500	431	554	18446744073709551595	18446744073709551253	18446744073709551608
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	6	3	0	0	0	0	0	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	7	3	1	672609494	412	535	18446744073709551595	18446744073709551246	18446744073709551608
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	8	4	0	672609501	452	248	61	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	9	4	1	672609507	411	525	18446744073709551595	18446744073709551235	18446744073709551608
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	10	5	0	0	0	0	0	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	11	5	1	672609508	562	555	18446744073709551595	18446744073709551254	18446744073709551608
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	12	6	0	672609494	450	248	61	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	13	6	1	672609499	426	534	18446744073709551595	18446744073709551242	18446744073709551608
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	14	7	0	0	0	0	0	0	0
nhwc_all_channels_o3_rejected	dncnn3_bench_allch_16h	16	15	7	1	672609483	425	538	18446744073709551595	18446744073709551246	18446744073709551608
best	dncnn3_bench_best_1h	1	0	0	0	3167174687	331	1054	46	0	0
best	dncnn3_bench_best_2h	2	0	0	0	2379211300	544	18446744073709551559	18446744073709551613	0	0
best	dncnn3_bench_best_2h	2	1	0	1	2379211299	526	248	18446744073709551613	18446744073709551572	41
best	dncnn3_bench_best_4h	4	0	0	0	1421088678	185	441	19	0	0
best	dncnn3_bench_best_4h	4	1	0	1	1421088664	18446744073709551384	714	41	38	22
best	dncnn3_bench_best_4h	4	2	1	0	0	0	0	0	0	0
best	dncnn3_bench_best_4h	4	3	1	1	1421088658	18446744073709551367	705	41	33	22
best	dncnn3_bench_best_8h	8	0	0	0	894616545	18446744073709551431	950	42	0	0
best	dncnn3_bench_best_8h	8	1	0	1	894616523	336	18446744073709551393	18446744073709551601	18446744073709551265	18446744073709551585
best	dncnn3_bench_best_8h	8	2	1	0	0	0	0	0	0	0
best	dncnn3_bench_best_8h	8	3	1	1	894616529	493	18446744073709551423	18446744073709551601	18446744073709551281	18446744073709551585
best	dncnn3_bench_best_8h	8	4	2	0	894616537	18446744073709551427	950	42	0	0
best	dncnn3_bench_best_8h	8	5	2	1	894616510	348	18446744073709551409	18446744073709551601	18446744073709551271	18446744073709551585
best	dncnn3_bench_best_8h	8	6	3	0	0	0	0	0	0	0
best	dncnn3_bench_best_8h	8	7	3	1	894616522	496	18446744073709551411	18446744073709551601	18446744073709551273	18446744073709551585
best	dncnn3_bench_best_16h	16	0	0	0	631623944	18446744073709551065	18446744073709551200	18446744073709551608	0	0
best	dncnn3_bench_best_16h	16	1	0	1	631623829	18446744073709550742	18446744073709550293	18446744073709551597	364	18446744073709551571
best	dncnn3_bench_best_16h	16	2	1	0	0	0	0	0	0	0
best	dncnn3_bench_best_16h	16	3	1	1	631623813	18446744073709550855	18446744073709550400	18446744073709551597	357	18446744073709551571
best	dncnn3_bench_best_16h	16	4	2	0	631623806	18446744073709550934	18446744073709551200	18446744073709551608	0	0
best	dncnn3_bench_best_16h	16	5	2	1	631623813	18446744073709550863	18446744073709550435	18446744073709551597	368	18446744073709551571
best	dncnn3_bench_best_16h	16	6	3	0	0	0	0	0	0	0
