variant	wait_s	gops	valid	passes	harts	mask	output_sum	slot_sum	ops	log	dump
v3100_o04_o3_align32_m08_accfinal	0.203909	2.314068	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m08_accfinal_20260502-044159.log	dump_v3100_o04_o3_align32_m08_accfinal_20260502-044159.bin
v3100_o04_o3_align32_m01_prefw	0.203931	2.313818	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m01_prefw_20260502-044159.log	dump_v3100_o04_o3_align32_m01_prefw_20260502-044159.bin
v3100_o02_o3_unroll_m09_accfinal_prefw	0.204023	2.312775	1	8	16	0xffff	514073	514073	471859200	run_v3100_o02_o3_unroll_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o02_o3_unroll_m09_accfinal_prefw_20260502-044159.bin
v3100_o00_o3_m09_accfinal_prefw	0.204085	2.312072	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o00_o3_m09_accfinal_prefw_20260502-044159.bin
v3100_o05_o3_align64_m00_base	0.204120	2.311675	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m00_base_20260502-044159.log	dump_v3100_o05_o3_align64_m00_base_20260502-044159.bin
v3100_o04_o3_align32_m00_base	0.204319	2.309424	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m00_base_20260502-044159.log	dump_v3100_o04_o3_align32_m00_base_20260502-044159.bin
v3100_o05_o3_align64_m03_skipw_prefw	0.204406	2.308441	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m03_skipw_prefw_20260502-044159.log	dump_v3100_o05_o3_align64_m03_skipw_prefw_20260502-044159.bin
v3100_o06_o3_noipa_m00_base	0.204406	2.308441	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m00_base_20260502-044159.log	dump_v3100_o06_o3_noipa_m00_base_20260502-044159.bin
v3100_o06_o3_noipa_m08_accfinal	0.204435	2.308114	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m08_accfinal_20260502-044159.log	dump_v3100_o06_o3_noipa_m08_accfinal_20260502-044159.bin
v3100_o01_o3_nosched_m02_skipw	0.204459	2.307843	1	8	16	0xffff	514073	514073	471859200	run_v3100_o01_o3_nosched_m02_skipw_20260502-044159.log	dump_v3100_o01_o3_nosched_m02_skipw_20260502-044159.bin
v3100_o03_o3_nounroll_m06_skipfinal_skipw	0.204468	2.307741	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o03_o3_nounroll_m06_skipfinal_skipw_20260502-044159.bin
v3100_o06_o3_noipa_m06_skipfinal_skipw	0.204474	2.307673	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o06_o3_noipa_m06_skipfinal_skipw_20260502-044159.bin
v3100_o00_o3_m06_skipfinal_skipw	0.204487	2.307527	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o00_o3_m06_skipfinal_skipw_20260502-044159.bin
v3100_o03_o3_nounroll_m08_accfinal	0.204497	2.307414	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m08_accfinal_20260502-044159.log	dump_v3100_o03_o3_nounroll_m08_accfinal_20260502-044159.bin
v3100_o07_o3_notreecopy_m00_base	0.204510	2.307267	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m00_base_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m00_base_20260502-044159.bin
v3100_o07_o3_notreecopy_m08_accfinal	0.204513	2.307233	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m08_accfinal_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m08_accfinal_20260502-044159.bin
v3100_o05_o3_align64_m08_accfinal	0.204522	2.307132	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m08_accfinal_20260502-044159.log	dump_v3100_o05_o3_align64_m08_accfinal_20260502-044159.bin
v3100_o03_o3_nounroll_m00_base	0.204556	2.306748	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m00_base_20260502-044159.log	dump_v3100_o03_o3_nounroll_m00_base_20260502-044159.bin
v3100_o00_o3_m08_accfinal	0.204588	2.306387	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m08_accfinal_20260502-044159.log	dump_v3100_o00_o3_m08_accfinal_20260502-044159.bin
v3100_o07_o3_notreecopy_m06_skipfinal_skipw	0.204603	2.306218	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m06_skipfinal_skipw_20260502-044159.bin
v3100_o00_o3_m00_base	0.204618	2.306049	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m00_base_20260502-044159.log	dump_v3100_o00_o3_m00_base_20260502-044159.bin
