variant	wait_s	gops	valid	passes	harts	mask	width	height	channels	disparities	output_sum	slot_sum	ops	log	dump
s100_o08_ofast_m01_prefr	0.245356	2.051372	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m01_prefr_20260502-051007.log	dump_s100_o08_ofast_m01_prefr_20260502-051007.bin
s100_o03_o3_nounroll_m01_prefr	0.246626	2.040809	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m01_prefr_20260502-051007.log	dump_s100_o03_o3_nounroll_m01_prefr_20260502-051007.bin
s100_o07_o3_notreecopy_m01_prefr	0.246735	2.039907	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m01_prefr_20260502-051007.log	dump_s100_o07_o3_notreecopy_m01_prefr_20260502-051007.bin
s100_o00_o3_m01_prefr	0.246802	2.039353	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m01_prefr_20260502-051007.log	dump_s100_o00_o3_m01_prefr_20260502-051007.bin
s100_o02_o3_unroll_m08_prefr_lastout	0.246926	2.038329	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m08_prefr_lastout_20260502-051007.log	dump_s100_o02_o3_unroll_m08_prefr_lastout_20260502-051007.bin
s100_o06_o3_noipa_m01_prefr	0.247421	2.034251	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m01_prefr_20260502-051007.log	dump_s100_o06_o3_noipa_m01_prefr_20260502-051007.bin
s100_o04_o3_align32_m08_prefr_lastout	0.248189	2.027956	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o04_o3_align32_m08_prefr_lastout_20260502-051007.log	dump_s100_o04_o3_align32_m08_prefr_lastout_20260502-051007.bin
s100_o05_o3_align64_m01_prefr	0.249255	2.019283	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o05_o3_align64_m01_prefr_20260502-051007.log	dump_s100_o05_o3_align64_m01_prefr_20260502-051007.bin
s100_o04_o3_align32_m01_prefr	0.249508	2.017236	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o04_o3_align32_m01_prefr_20260502-051007.log	dump_s100_o04_o3_align32_m01_prefr_20260502-051007.bin
s100_o02_o3_unroll_m04_lastout	0.249581	2.016646	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m04_lastout_20260502-051007.log	dump_s100_o02_o3_unroll_m04_lastout_20260502-051007.bin
